name,id,fid,runtime,cast,genre,country_codes,language_codes,certificates,Budget,OWUS,CWG,rating,votes,original_air_date,title,director,writer1,writer2,producer1,producer2,production_company1,production_company2,composers,editors,cinematographers,set_decorators,assistant_directors,visual_effects
Cut,tt0189456,189456.0,82,"['Molly Ringwald', 'Frank Roberts', 'Kylie Minogue', 'Geoff Revell', 'Jessica Napier', 'Sarah Kants', 'Stephen Curry', 'Matthew Russell', 'Erika Walters', 'Cathy Adamek', 'Steve Greig', 'Sam Lewis', 'Paul Blackwell', 'Scott Heysen', 'Don Barker', 'Phyllis Burford', 'Dominic Pedlar', 'Holly Myers', 'Patrick Frost', 'Simon Bossell', 'Edwin Hodgeman', 'Peter Green', 'Caroline Mignon', 'Bronwen James', 'Huong Nguyen', 'Pamela Shaw', 'Tiriel Mora']","['Comedy', 'Horror', 'Mystery', 'Thriller']",['au'],['en'],R,,,,4.2,3088.0,02 Mar 2000 (Australia),Cut,Kimble Rendall,Mark Lamprell,,Bill Bennett,Mikael Borglund,Beyond Films,MBP,Guy Gross,Henry Dangar,David Foreman,Lisa Thompson,Kath McIntyre,Tony Clark
Screwed,tt0156323,156323.0,81,"['Norm MacDonald', 'Dave Chappelle', 'Elaine Stritch', 'Danny DeVito', 'Daniel Benzali', 'Sherman Hemsley', 'Sarah Silverman', 'Malcolm Stewart', 'Lochlyn Munro', 'Brent Chapman', 'Brian Jensen', 'Shawn Macdonald', 'Kelly Fiddick', 'Helena Yea', 'Lorenzo Campbell', 'Damon Thornton', 'Lorena Gale', 'Sue Astley', 'Mark Acheson', 'Joanna Piros', 'Samantha Ferris', 'Brian Arnold', 'Ted Friend', 'Claire Riley', 'April Telek', 'Lois Dellar', 'Ken Kirzinger', 'Charles Andre', 'Camille Sullivan', 'D. Harlan Cutshall', 'Ben Derrick', 'Ann Warn Pegg', 'Brent Butt', 'Anthony Harrison', 'Robert Moloney', 'Lloyd Berry', 'Dee Jay Jackson', 'Tygh Runyan', 'Georgina Hegedos', 'Khaira Ledeyo', 'Laurie Bekker', 'Martin Amado', 'Irene Miscisco', 'Tom Heaton', 'Bam Bam', 'Tony Morelli', 'Jim Dunn', 'Maria Arcé', 'Jack Lord', 'Michelle Russo']","['Comedy', 'Crime']",['us'],['en'],PG-13::(No. 36668),10000000.0,"$3,342,085, 14 May 2000",,5.8,7806.0,12 May 2000 (USA),Screwed,Scott Alexander,Scott Alexander,Larry Karaszewski,Fitch Cady,Julia Dray,Universal Pictures,Robert Simonds Productions,Michel Colombier,Michael Jablow,Robert Brinkmann,Rose Marie McSherry,Morgan Beggs,Scott Dougherty
Brother,tt0222851,222851.0,114,"['Takeshi Kitano', 'Omar Epps', 'Claude Maki', 'Masaya Katô', 'Susumu Terajima', 'Royale Watkins', 'Lombardo Boyar', 'Ren Osugi', 'Ryo Ishibashi', 'James Shigeta', 'Tatyana Ali', 'Makoto Ôtake', 'Kôen Okumura', 'Naomasa Musaka', 'Rino Katase', 'Tetsuya Watari', 'Ren Murakami', 'Joy Nakagawa', 'Wanda-Lee Evans', 'Tony Colitti', 'Koyo Into', 'Alan Marco', 'Antwon Tanner', 'Joseph Ragno', 'Nynno Ahli', 'Paul Feddersen', 'Dan Gunther', 'Robert Covarrubias', 'Anthony Vatsula', 'Al Vicente', 'Luis Angel', 'Bradley Jay Lesley', 'Lobo Sebastian', 'Tomas Chavez', 'Don Sato', 'Hideo Kimura', 'Yauoi Otani', 'Tuesday Knight', 'Yuji Hasegawa', 'Chuma Gault', 'Kool Moe Dee', 'Peter Spellos', 'Amaury Nolasco', 'Jack Ong', 'Tad Horino', 'Mike Wu', 'Alvin Ing', 'Herschel Sparber', 'John Aprea', 'Christopher DerGregorian', 'Manny Perez', 'Eddie Garcia', 'Rainbow Borden', 'Manny Gavino', 'Hiroshi Otaguro', 'Darryl M. Bell', 'Eiji Inoue', 'Yoshi Tomo Kaneda', 'Geoff Meed', 'Shôken Kunimoto', 'Shûhei Saga', 'Yûji Ishikawa', 'Takashi Nishina', 'Mikage Sano', 'Ryosuke Watabe', 'Joseph Aguilar', 'Erick Carrillo', 'Gary Cruz', 'Noel Gugliemi', 'Miguel Mas', 'Pat Morita', 'Thomas Rosales Jr.']","['Crime', 'Drama', 'Thriller']","['us', 'gb', 'jp']","['en', 'ja', 'it', 'es']",R,10000000.0,"$60,029, 22 Jul 2001",,7.2,20843.0,24 Nov 2000 (Italy),Brother,Takeshi Kitano,Takeshi Kitano,,Ann Carli,Victor Ho,Recorded Picture Company,Office Kitano,Joe Hisaishi,Takeshi Kitano,Katsumi Yanagijima,Teresa Visinare,Rita Lisa Danao,
The Specials,tt0181836,181836.0,82,"['Jordan Ladd', 'Rob Lowe', 'Jamie Kennedy', 'Mike Schwartz', 'Thomas Haden Church', 'Paget Brewster', 'Kelly Coffield Park', 'Sean Gunn', 'Judy Greer', 'James Gunn', 'Jim Zulevic', 'Johnny Mountain', 'John Doe', 'Abdul Salaam El Razzac', 'Lauren Cohn', 'Tom Dorfmeister', 'Chuti Tiu', 'Johann Stauf', 'Brian Gunn', 'Samantha Cannon', 'Barry Del Sherman', 'Mark A. Altman', 'Robert Meyer Burnett', 'Mark Gottwald', 'Matt Champagne', 'Taryn Manning', 'Beau Weaver', 'Jordan Warkol', 'Austin Bates', 'Louis Martin Braga III', 'Valerie Long', 'Lee Kirk', 'Caren Saiet', 'Christopher Shea', 'Jenna Fischer', 'Patricia Gaul', 'Dana Wieluns', 'Scott Torrence', 'Lisa Steinmetz', 'Frank Medrano', 'Melissa Joan Hart', 'Judith Drake', 'Michael Weatherly', 'Chase Masterson', 'Ellie Cornell', 'Greg Erb', 'Kate Lily Souza']","['Action', 'Comedy', 'Fantasy', 'Sci-Fi']",['us'],['en'],R,1000000.0,"$10,131, 24 Sep 2000",,5.8,2125.0,,The Specials,Craig Mazin,James Gunn,,Mark A. Altman,Dan Bates,Brillstein-Grey Entertainment,Mindfire Entertainment,Brian Langsbard,Stephen Garrett,Eliot Rockett,Greta Grigorian,Matt James,John Allardice
Maybe Baby,tt0206926,206926.0,104,"['Joely Richardson', 'Matthew Macfadyen', 'Hugh Laurie', 'Adrian Lester', 'Yasmin Bannerman', 'Joanna Lumley', 'Rachael Stirling', 'Dave Thompson', 'Emma Thompson', 'Stephen Simms', 'John Brenner', 'Jaz Wilson', 'James Purefoy', 'Guy Barrett', 'Deila Bhujoo', 'Abbey Careford', 'Marina Fiorato', 'Richard Leaf', 'Lidija Zovkic', 'Tom Hollander', 'Connor Pearce', 'Henrietta Garden', 'Richard Sandells', 'Emma Cooke', 'Shelley Conn', 'Stephanie Bartczak', 'Chris Belgrave', 'Catriona Pearson', 'Judith Shekoni', 'Rowan Atkinson', 'Paul Ready', 'Paul Tripp', 'Gemma Aston', 'Lisa Palfrey', 'Serena Evans', 'Katisha Kenyon', 'Anneli Harrison', 'Caroline Hayes', 'Elizabeth Woodcock', 'John Lightbody', 'Mina Anwar', 'Junix Inocian', 'John Fortune', 'Sally Reeve', 'Kelly Reilly', 'Dawn French', 'Emma Buckley', 'Karen Bryson', 'Stephen Hawke', 'Jeremy Caleb Johnson']","['Comedy', 'Romance']",['gb'],['en'],R,,,,5.7,5435.0,02 Jun 2000 (UK),Maybe Baby,Ben Elton,Ben Elton,,Lucy Ansbro,Ernst Goldschmidt,Pandora Cinema,BBC Films,Colin Towns,Peter Hollywood,Roger Lanser,Maggie Gray,Sara Desmond,Helen Ball
Beautiful,tt0210567,210567.0,112,"['Minnie Driver', 'Joey Lauren Adams', 'Hallie Eisenberg', 'Kathleen Turner', 'Leslie Stefanson', 'Bridgette Wilson-Sampras', 'Kathleen Robertson', 'Michael McKean', 'Gary Collins', 'Linda Hart', 'Brent Briscoe', 'Colleen Rennison', 'Jacqueline Steiger', 'Sylvia Short', 'Herta Ware', 'Ali Landry Monteverde', 'Robin Bobeau', 'Chuti Tiu', 'Samantha Harris', 'Dawn Forrester', 'Julie Condra', 'Jessica Collins', 'Deborah Kellner', 'Brent Huff', 'Charles Dougherty', 'Shawn Christian', 'Margaret Emery', 'Irene Roseen', 'Mark Christensen', 'William Forward', 'Elizabeth Lang', 'Alexander Folk', 'Lu Elrod', 'Adilah Barnes', 'Cindy Montoya-Picker', 'Landry Allbright', 'Lorna Scott', 'Earl Schuman', 'Mary E. Thompson', ""Rosine 'Ace' Hatem"", 'Claire Benedek', 'Dale Raoul', 'Robert Phelps', 'Jordan Lund', 'Warren Munson', 'Keli Daniels', 'Susan Segal', 'Annabella Price', 'Sydney Berry', 'Ken Baldwin', 'Spice Williams-Crosby', 'Jenny Seeger', 'Courtney Clark', 'Lisa Kouchak', 'Kimberly Jameson', 'Sara McKinney', 'Megan Stephens', 'Lindsay Lopez', 'Jennifer Edmond', 'Kelly Crandall', 'Rhonda Kaufman', 'Keli Murphy', 'Natalie Mills', 'Jennifer Lee Keyes', 'Tracie Burton', 'Katie Tate', 'Diane Mizota', 'Faune Chambers Watkins', 'Laurie Sposit', 'Cher Aslor', 'Bermina Jackson', 'Kimberly Lyon', 'Elizabeth Myers', 'Kristin McQuaid', 'Katie Miller', 'Sergio Carbajal', 'Bryan Anthony', 'Timothy Anderson', 'Zachary Woodlee', 'Elward Jellison', 'Nikita Ager', 'Pratima Anaé', 'Ben Bode', 'Greg Bronson', 'Daniel Dehring', 'Phil Hawn', 'Nichole Telck', 'Dan Touchette']","['Drama', 'Comedy']","['us', 'gb']",['en'],PG-13,14000000.0,"$1,409,433, 01 Oct 2000",,5.6,3537.0,29 Sep 2000 (USA),Beautiful,Sally Field,Jon Bernstein,,S.F. Atkins,Brent Baum,Destination Films,Flashpoint,John Frizzell,Debra Neil-Fisher,Robert D. Yeoman,Jeffrey Kushon,Stacey Holmes,
Beautiful Creatures,tt0221889,221889.0,86,"['Susan Lynch', 'Iain Glen', ""Jake D'Arcy"", 'Rachel Weisz', 'Tom Mannion', 'Maurice Roëves', 'Paul Doonan', 'Robin Laing', 'Pauline Lynch', 'John Murtagh', 'Shane Cadzow', 'Juliet Cadzow', 'Alex Norton', 'Stewart Preston', 'Ron Donachie', 'Joel Strachan', 'Stuart Hepburn', 'Ellie Haddington', 'Paul Higgins', 'Storm']","['Comedy', 'Thriller', 'Crime', 'Drama']",['gb'],"['en', 'de']",R,,,,5.9,3359.0,19 Jan 2001 (UK),Beautiful Creatures,Bill Eagles,Simon Donald,,Simon Donald,Alan J. Wands,Arts Council of England,DNA Films,Murray Gold,Jon Gregory,James Welland,,Drew Cain,Adrian De Wet
Gun Shy,tt0171356,171356.0,101,"['Liam Neeson', 'Oliver Platt', 'José Zúñiga', 'Michael DeLorenzo', 'Andrew Lauer', 'Richard Schiff', 'Paul Ben-Victor', 'Gregg Daniel', 'Ben Weber', 'Sandra Bullock', 'Mary McCormack', 'Michael Mantell', 'Mitch Pileggi', 'Louis Giambalvo', 'Rick Peters', 'Dusty Kay', 'Jerry Stahl', 'Michael Weatherly', 'Hank Stratton', 'Frank Vincent', 'Frankie Ray', 'Taylor Negron', 'Joe Maruzzo', 'Aaron Lustig', 'Tracy Zahoryin', 'Michelle Joyner', 'Manny Perry', 'David Carpenter', 'Tommy Morgan Jr.', 'Roy Buffington', 'Myndy Crist', 'Ramona Case', 'Derek Sitter', 'Ron Reaves', 'Tracy Phillips', 'Natalie Webb', 'Jennifer Garrett', 'Lisette Boren', 'Edgar Godineaux', 'Dante Henderson', 'John Allee', 'Derek Anthony', 'Paul Best', 'Vernon Campbell', 'Cameron Glenar', 'Phil Hawn', 'Stacey Hayes', 'Jack Janda', 'Rich Knight', 'Paul McMichael', 'Lynne Oropeza', 'Glenn Phillips', 'Tone Torgersen']","['Comedy', 'Crime', 'Romance']",['us'],['en'],R,10000000.0,"$703,109, 06 Feb 2000",,5.7,6691.0,09 Mar 2000 (Australia),Gun Shy,Eric Blakeney,Eric Blakeney,,Sandra Bullock,Marc S. Fischer,Hollywood Pictures,Fortis Films,Rolfe Kent,Pamela Martin,Tom Richmond,Maurin L. Scarlata,John Gallagher,Jeff Burks
Nostradamus,tt0207631,207631.0,102,"['Rob Estes', 'Joely Fisher', 'Fintan McKeown', 'David Millbern', 'Michael C. Gwynne', 'Gene Davis', 'David Lawrence Brown', 'Michael Zelniker', 'Brent Fidler', 'Jonas Chernick', 'Peter Jordan', 'Paul Jordan', 'Aleks Paunovic', 'Lora Schroeder', 'David Adamson', 'Carl Hibbert', 'Debbie Patterson', 'Stan Lesk', 'Lee J. Campbell', 'John Bluethner', 'Joyce Krenz', 'Henry van Dijk', 'Patsy Ulmer', 'Mauralea Austin', 'Guy Maddin', 'Rod Gilchrist', 'Mandy Hochbaum', 'James Pearce', 'Jason Ruta', 'Ryan Ward']","['Action', 'Adventure', 'Sci-Fi']","['ca', 'us']",['en'],TV-MA,,,,4.6,503.0,,Nostradamus,Tibor Takács,David Bourla,Brian Irving,David Bourla,Jack Clements,Flashpoint (I),Regent Entertainment,Alex Khaskin,Michael Rea,Barry Gravelle,Scott Rossell,Milt Bruchanski,Chris Bond
The Guilty,tt0186183,186183.0,108,"['Bill Pullman', 'Devon Sawa', 'Gabrielle Anwar', 'Angela Featherstone', 'Joanne Whalley', 'Darcy Belsher', 'Jaimz Woolvett', 'Ken Tremblett', 'Gillian Barber', 'Duncan Fraser', 'Bruce Harwood', 'Hiro Kanagawa', 'Garry Chalk', 'Peter Kent', 'Kurt Evans', 'Martin Evans', 'Tegan Moss', 'Taylor Anne Reid', 'John McConnach', 'Mary Black', 'Camilla Overbye Roos', 'Judith Maxie', 'Michelle Harrison', 'D. Harlan Cutshall', 'David Lyle', 'Scott Nicholson', 'Gavin Buhr', 'Anthony Waller']","['Crime', 'Drama', 'Thriller']","['gb', 'us', 'ca']",['en'],R,14000000.0,,,6.2,3039.0,01 Jun 2000 (Hungary),The Guilty,Anthony Waller,Simon Burke,,Paul Cowan,William Davies,J&M Entertainment,Dogwood Pictures,Debbie Wiseman,Alison Grace,Tobias A. Schliessler,Lin MacDonald,Natalie Baldner,
Panic,tt0194218,194218.0,88,"['William H. Macy', 'John Ritter', 'Neve Campbell', 'Donald Sutherland', 'Tracey Ullman', 'Barbara Bain', 'David Dorfman', 'Tina Lifford', 'Bix Barnaba', 'Nicholle Tom', 'Thomas Curtis', 'Andrea Baker', 'Steven Moreno', 'Erica Ortega', 'Greg Pitts', 'Stewart J. Zully', 'Miguel Sandoval', 'Nick Cassavetes', 'Steve Valentine']","['Comedy', 'Crime', 'Drama']",['us'],['en'],R,1000000.0,,,6.6,7807.0,26 Apr 2001 (Singapore),Panic,Henry Bromell,Henry Bromell,,David Cooper,Matt Cooper,Artisan Entertainment,Mad Chance,Brian Tyler,Lynzee Klingman,Jeffrey Jur,Emma Fairley,Stacey Holmes,Christopher Dusendschon
Lockdown,tt0196708,196708.0,105,"['Richard T. Jones', 'Gabriel Casseus', ""De'aundre Bonds"", 'Master P', 'Melissa De Sousa', 'Bill Nunn', 'Clifton Powell', 'Sticky Fingaz', ""David 'Shark' Fralick"", 'Anna Maria Horsford', 'Chrystale Wilson', 'Paulette Braxton', 'Mike Butters', 'Joe Torry', 'Mary Evans', 'Anthony Boswell', 'Darcas Macopson', 'Lloyd Avery II', 'Courtney McLean', 'Antonio Lewis Todd', 'David Nickey', 'Tait Fletcher', 'Tracy Hightower', 'Jesús González', 'Devon Lumpkin', 'Mikel Lumpkin', 'Darrell Young', 'Dianna St. Hilaire', 'Debra Johns', 'Bud White', 'Doug Berryman', 'Darrold Morris', 'Mark Fourte', 'Amy Lawrence', 'Edward Sisneros', 'Dorsey Ray', 'La Wanda Johnson', 'Harriett Levine', 'Forrest Fyre', 'Kevin Kennedy', 'Gary D. Williams', 'Timothy Richard Hopper', 'Freddy Deane', 'Stanis K. Askew', 'Rodney Bowe', 'Lowell Burton Jr.', 'Darnell Cameron', 'Lucas Critchfield', 'Debra Nelson', 'Talena L. Hines', 'Shirley Holden', 'Wanda John', 'Wilma John', 'Tiffany Johnson', 'Mark McConnell', 'Charlie Mitchell', 'Yolanda Olivas', 'Lamont Paige', 'Tom Robinson', 'Viola Valdez', 'Ameer Baraka', 'Richard Barela', 'Deborah Chavez', 'Bil Clement', 'Angelo Dimascio', 'Andrew Divoff', 'Russell Gannon', 'Jimmy Keller', 'Wolfgang Lindemann', 'Eric Martinez', 'Mike McKenny', ""James 'JR' Pollard"", 'J. Nathan Simmons', 'Chris Talley', 'Anthony M. Trujillo']","['Drama', 'Thriller']",['us'],['en'],R,,"$83,377, 21 Feb 2003",,6.2,2340.0,,Lockdown,John Luessenhop,Preston A. Whitmore II,,Eric Abrahamson,Mark Burg,Evolution Entertainment,No Limit Films,John Frizzell,Joseph Gutowski,Chris Chomyn,Heidi Mayfield,Alexander H. Gayner,Douglas Salkin
Apokalypse 99 - Anatomie eines Amokläufers,tt0247934,247934.0,90,"['Karoline Eichhorn', 'Thomas Heinze', 'Juraj Kukura', 'Ulrich Tukur']",None,"['ru', 'de']","['ru', 'de']",,,,,4.8,6.0,,Apokalypse 99 - Anatomie eines Amokläufers,Dmitriy Astrakhan,Mathias Klaschka,,Artur Brauner,,Central Cinema Company Film,Gran Film,Alexej Grigoriew,L. Birkenhof,A.F. Rud,,,
Committed,tt0144142,144142.0,98,"['Heather Graham', 'Casey Affleck', 'Luke Wilson', 'Goran Visnjic', 'Patricia Velasquez', 'Alfonso Arau', 'Mark Ruffalo', 'Kim Dickens', 'Clea DuVall', 'Summer Phoenix', 'Art Alexakis', 'Mary Kay Place', 'Dylan Baker', 'Wood Harris', 'Laurel Holloman', 'Robert Acosta', 'Davina Lane', 'William Marsh', 'Kymberley McMahan', 'Robert Holguin', 'Benjamin Jacob Lewis', 'Javier Renteria', 'Rafael Anaya', 'Forrest Silvers', 'Tyler Silvers', 'Lars Fox', 'David Loprinzi', 'Daniel Luján', 'George F. Miller', 'Anna Mae Roberts', 'Jon Stewart']","['Comedy', 'Drama']",['us'],"['en', 'es']",R,3000000.0,"$11,452, 30 Apr 2000",,5.1,3551.0,14 Jul 2000 (Iceland),Committed,Lisa Krueger,Lisa Krueger,,Jonathan Gordon,Marlen Hecht,Miramax,,Calexico,Curtiss Clayton,Tom Krueger,Lisa Kent,Bill Blyler,
The Crew,tt0198386,198386.0,88,"['Richard Dreyfuss', 'Burt Reynolds', 'Dan Hedaya', 'Seymour Cassel', 'Carrie-Anne Moss', 'Jennifer Tilly', 'Lainie Kazan', 'Miguel Sandoval', 'Jeremy Piven', 'Casey Siemaszko', 'Matt Borlenghi', 'Billy Jayne', 'Jeremy Ratchford', 'Mike Moroff', 'José Zúñiga', 'Carlos Gómez', 'Louis Guss', 'Joseph Rigano', 'Ron Karabatsos', 'Frank Vincent', 'Manuel Estanillo', 'Marc Macaulay', 'Cullen Douglas', 'Jim R. Coleman', 'Louis Lombardi', 'Aaron Elbaz', 'Vince Cecere', 'Dana Daurey', 'Jeremy Shore', 'Hope Pomerance', 'Penelope Alexitch', 'Christy Tummond', 'Evelyn Brooks', 'Don Clark Williams', 'Jill Beach', 'Lorri Bagley', 'Antoni Corone', 'Ian Marioles', 'Fyvush Finkel', 'Mal Jones', 'Ru Flynn', 'Ginger Southall', 'Gino Salvano', 'Elizabeth Powers', 'Jay Cannistraci', 'John Archie', 'Christa Campbell', 'Adam Cronan', 'Judith Delgado', 'April Engel', 'Patrick Fox', 'Daniel A. Leone', 'Allan F. Nicholls', 'Yoset Rosenberg', 'Fabián Hernández', 'David H. Steel', 'Susie Park', 'Carlo Allen', 'George Fisher', 'Harry Boykoff', ""Tamela D'Amico"", 'Alfonso DiLuca', 'Mark Levy', 'Heidi Rae', 'Tracie Bruce', 'Trish Dempsey', 'Hugo Garcia', 'Paul Neglio', 'Jim Perez', 'Al Quinn', 'Thomas Rosales Jr.', 'Olivia Weston']","['Comedy', 'Crime']",['us'],"['en', 'es']",PG-13,38000000.0,"$4,051,921, 27 Aug 2000",,5.6,4387.0,25 Aug 2000 (USA),The Crew,Michael Dinner,Barry Fanaro,,Lisa Ellzey,Michael S. Glick,George Litto Productions,Sonnenfeld Josephson Worldwide Entertainment,Steve Bartek,Nicholas C. Smith,Juan Ruiz Anchía,Barbara Peterson-Malesci,Craig Haagensen,Jamie Baxter
Mercy,tt0188055,188055.0,117,"['Ellen Barkin', 'Wendy Crewson', 'Peta Wilson', 'Karen Young', 'Julian Sands', 'Stephen Baldwin', 'Marshall Bell', 'Beau Starr', 'Bill MacDonald', 'Stewart Bick', 'Ellen-Ray Hennessy', 'Lara Daans', 'Claire Burton', 'Fulvio Cecere', 'Zerha Leverman', 'Melanie Nicholls-King', 'Susanne Sutchy', 'Danielle Marie Straus', 'Linda V. Carter', 'Gene Mack', 'Robert B. Kennedy', 'Lauren Piech', 'Kevin Rushton', 'Dorothy Bennie', 'Doug Lennox', 'Jacqueline McLeod', 'Lacey Von Erich', 'Jean Daigle', 'Michael Fletcher', 'Wendy Lum', 'Alex Ross']","['Mystery', 'Thriller']",['us'],['en'],R,,,,5.4,2053.0,11 Feb 2000 (USA),Mercy,Damian Harris,David L. Lindsey,,Ashok Amritraj,Whitney Brown,Franchise Pictures,Jazz Pictures,BC Smith,Stephan Fanfara,Manuel Teran,Jaro Dick,Walter Gasparovic,John Furniotis
Nel cuore delle alghe e dei coralli: I cento passi di Peppino Impastato,tt5477304,5477304.0,46,,['Documentary'],['it'],['it'],,,,,,,,Nel cuore delle alghe e dei coralli: I cento passi di Peppino Impastato,Antonio Bellia,Antonio Bellia,,,,,,Tony Landolina,Rino Pitruzzella,Antonio Bellia,,,
Last Resort,tt0258761,258761.0,73,"['Dina Korzun', 'Artyom Strelnikov', 'Paddy Considine', 'Steve Perry', 'Perry Benson', 'Katie Drinkwater', 'Dave Bean', 'Adrian Scarborough', 'David Auker', 'Bruce Byron', 'Jim Trevellyan', 'Marcus Redwood', 'Zoe Sharpe', 'Daniel Mobey']","['Drama', 'Romance']",['gb'],"['en', 'ru']",TV-14,,,,7.3,1678.0,02 Mar 2001 (Greece),Last Resort,Pawel Pawlikowski,Rowan Joffe,,Ruth Caleb,Chris Collins,British Broadcasting Corporation,,Max de Wardener,David Charap,Ryszard Lenczewski,,,
God's Army,tt0238247,238247.0,108,"['Matthew A. Brown', 'Richard Dutcher', 'Jacque Gray', 'Jeffrey Scott Kelly', 'Desean Terry', 'Michael Buster', 'Luis Robledo', 'John Pentecost', 'Lynne Carr', 'Kelli Coleman', 'Anthony Anselmi', 'Pete Jackson', 'Seamus Hurley', 'Francine Riber', 'Fawn Perez', 'Lorena Mena', 'Jennifer Christopher', 'John Kraemer', 'Erica Clare', 'Todd Davis', 'Louie Olivos Jr.', 'Elaine Hill', 'Lance Johnson', 'Darron Johnson', 'Doug Stewart', 'Malayika Singley', 'Dominique Dumas', 'Jeremiah Dumas', 'Taz Brighton Dodge', 'Eli Dutcher', 'Kiki Kehoe', 'Paul Downey', 'Albert Cabrera', 'Scott Sandler', 'Gwen Dutcher', 'Ethan Dutcher', 'Lucas Dutcher', 'Paul Vito Abato', 'Sherri Boyzsa', 'Soledad St. Hilaire', 'James Thiel', 'Cody Rosenberg', 'Larry Bagby', 'Richard Radstone', 'Robert Consoli', 'Lance Schmidt', 'James Powell', 'Cade Kleven', 'A.J. Desveaux', 'Carrie Morgan', 'Mark Shady']",['Drama'],['us'],['en'],PG,300000.0,"$88,584, 12 Mar 2000",,6.4,991.0,10 Mar 2000 (USA),God's Army,Richard Dutcher,Richard Dutcher,,Gena Downey,Paul Downey,Zion Films,,Miriam Cutler,Michael Chaskes,Ken Glassing,,Paul Downey,
Josh,tt0151150,151150.0,162,"['Shah Rukh Khan', 'Aishwarya Rai Bachchan', 'Chandrachur Singh', 'Sharad S. Kapoor', 'Priya Gill', 'Sharat Saxena', 'Vivek Vaswani', 'Anjan Srivastav', 'Kumar Bharadwaj', 'Suhas Joshi', 'Nadira', 'Ruhshad Nariman Daruwalla', 'Saandesh Nayak', 'Shraddha Nigam', 'Sushant Singh', 'Puneet Vashist']","['Action', 'Drama', 'Musical', 'Romance']",['in'],['hi'],R::(self-applied),,,7112773.0,6.1,8818.0,09 Jun 2000 (India),Josh,Mansoor Khan,Aatish Kapadia,,Ganesh Jain,Umed Jain,United Seven Combines,Venus Records & Tapes,Anjan Biswas,Dilip Kotalgi,K.V. Anand,,Piyush Acharya,
Le secret,tt0227458,227458.0,107,"['Anne Coesens', 'Michel Bompoil', 'Tony Todd', 'Quentin Rossi', 'Jacqueline Jehanneuf', 'Aladin Reibel', 'Valérie Vogt', 'Frédéric Sauzay', 'Natalya Ermilova', 'Charlotte Pradon', 'Jeanne Cellard', 'Yanitz Grunhard', 'Chantal Lambrechts', 'Christian Bobet', 'Paul Ielkin', 'Nouka Maximoff', 'Kim Kimberly', 'Yannick Dixneuf', 'Vanessa Lapierre', 'Isabelle Tanakil', 'Judith Perron', 'José Valls', 'Jay Arlen Jones', 'Ariane Pick', 'Richard Malbequi', 'Estelle Vincent', 'Jean-Marc Chemouli', 'Michèle Hery']","['Drama', 'Romance']",['fr'],"['fr', 'en']",Not Rated,,,,6.1,631.0,01 Nov 2000 (France),Le secret,Virginie Wagon,Virginie Wagon,,François Marquis,Michel Saint-Jean,Les Productions Bagheera,Diaphana Films,,Yannick Kergoat,Jean-Marc Fabre,,Arno Caravel,
Jungle,tt0251756,251756.0,146,"['Sunil Shetty', 'Fardeen Khan', 'Urmila Matondkar', 'Sushant Singh', 'Kashmira Shah', 'Rajpal Yadav', 'Raju Kher', 'Himanshu Malik', 'Avtar Gill', 'Makrand Deshpande', 'Manmeer Singh', 'Vijay Raaz', 'Swati Chitnis', 'Anil Yadav', 'Ram Awana', 'Ashraf Ul Haq', 'Sanjay Kumar', 'Gurinder Makna', 'Ganny Nighanda', 'Deep Raj Rana', 'Nawazuddin Siddiqui', 'Manmeet Singh', 'Dinesh Thakkerr']","['Action', 'Adventure', 'Romance', 'Thriller']",['in'],['hi'],,,,,6.1,995.0,14 Jul 2000 (India),Jungle,Ram Gopal Varma,H. Banerjee,,,,Varma Corporation,,Sandeep Chowta,Chandan Arora,Vijay Kumar Arora,,,Ramesh Jayaraman
Above Suspicion,tt0219469,219469.0,92,"['Scott Bakula', 'Annabella Sciorra', 'George Dzundza', 'Edward Asner', 'Jack Blessing', 'Erin Cressida Wilson', 'Cait Gentile', 'Red West', 'Scott N. Stevens', 'John Boyd West', 'Jeremy Wood', 'Daniel La Rocque', 'Bonnie Johnson', 'Mike Stanley', 'Shane Callahan', 'Carl McIntyre', 'Stephani Victor', 'Erik Conti', 'Todd Davis', 'Robert Harris', 'Kathryn Jacobs', 'Wayne Jacobs', 'Barbara-Anne Johnson', 'Christy Johnson', 'Thomas R. Mustin', 'Tom Mustin', 'Nelson Ranson', 'Todd Sandler', 'Maegen Worley', 'Michael Worley', 'Matt Ringrose']",['Drama'],['us'],['en'],R,,,,5.5,347.0,07 Jun 2000 (UK),Above Suspicion,Stephen La Rocque,Stephen La Rocque,,Christine Brewer,Jake Froelich,,,Mark Adler,Leonard Feinstein,Alton Chewning,,Rickie Castaneda,
